mci:janaka,2285:janaka:n:
mci:janakasya,1251:janakasya:n:
mci:jantUpAKyAna,701:jantUpAKyAna:n:
mci:jamadagner,1914:jamadagner:n:
mci:jamadagner,1914:jamadagner:n:
mci:jambU,1252:jambU:n:
mci:jambUKaRqavinirmARa,702:jambUKaRqavinirmARa:n:
mci:jambUnadI,1253:jambUnadI:n:
mci:jayadraTavaDa,704:jayadraTavaDa:n:
mci:jayantI,1258:jayantI:n:
mci:jarAsanDavaDa,705:jarAsanDavaDa:n:
mci:jaritA,131:jaritA:n:
mci:jartika,2286:jartika:n:
mci:jalada,1259:jalada:n:
mci:jalapradAnika,706:jalapradAnika:n:
mci:jalA,1261:jalA:n:
mci:jANgala,2288:jANgala:n:
mci:jAtimAtrahrada,1264:jAtimAtrahrada:n:
mci:jAmbavatI,134:jAmbavatI:n:
mci:jAmbavant,133:jAmbavant:n:
mci:jAmbavant,133:jAmbavant:n:
mci:jAmbUnada,1266:jAmbUnada:n:
mci:jArUTI,1916:jArUTI:n:
mci:jAhnavI,1268:jAhnavI:n:
mci:jEtra,488:jEtra:n:
mci:jEmUta,1269:jEmUta:n:
mci:jyezWasAman,2629:jyezWasAman:n:
mci:jyezWasTAna,1270:jyezWasTAna:n:
mci:jyezWAmUla,878:jyezWAmUla:n:
mci:jyezWila,1271:jyezWila:n:
mci:jyotika,135:jyotika:n:
mci:jyotiraTA,1272:jyotiraTA:n:
mci:jyotiza,489:jyotiza:n:
mci:jyotizka,136:jyotizka:n:
mci:jyoha,2289:jyoha:n:
mci:takzaka,137:takzaka:n:
mci:taNgaRa,2290:taNgaRa:n:
mci:taRqUlikASrama,1918:taRqUlikASrama:n:
mci:taRqer,1919:taRqer:n:
mci:tapoda,1275:tapoda:n:
mci:taratoya,2291:taratoya:n:
mci:tarantuka,1278:tarantuka:n:
mci:tarala,2292:tarala:n:
mci:taruRaka,138:taruRaka:n:
mci:tApatya,707:tApatya:n:
mci:tAmara,2294:tAmara:n:
mci:tAmasAstra,490:tAmasAstra:n:
mci:tAmra,2295:tAmra:n:
mci:tAmra,2295:tAmra:n:
mci:tAmracUqa,139:tAmracUqa:n:
mci:tAmracUqa,139:tAmracUqa:n:
mci:tAmraparRI,1279:tAmraparRI:n:
mci:tAmralipta,2297:tAmralipta:n:
mci:tAmrA,140:tAmrA:n:
mci:tAmrA,140:tAmrA:n:
mci:tAmrAruRa,1281:tAmrAruRa:n:
mci:tArAmfga,879:tArAmfga:n:
