bhs:अकम्पिय,14:अकम्पिय:n:पिय्
shs:श्योणा,40983:श्योणा:n:श्यो
vcp:श्योमाक,44146:श्योमाक:n:श्यो
bhs:श्रीचिन्तामणिदत्त,15282:श्रीचिन्तामणिदत्त:n:णिद्
mw:श्रीदामनन्ददात्री,223017:श्रीदामनन्ददात्री:n:ईदा
pw:श्रीदामानन्ददात्री,115120:श्रीदामानन्ददात्री:n:ईदा
mw:श्रीदामेश्वरवल्लभा,223017.1:श्रीदामेश्वरवल्लभा:n:ईदा
pui:श्रोतामन्त,14996:श्रोतामन्त:n:ओता
pw:श्रौताण्डपिल्ले,115582:श्रौताण्डपिल्ले:n:औता
skd:श्वित्रघ्री,36831:श्वित्रघ्री:n:घ्री
sch:षाष्टीक,25482:षाष्टीक:n:षाष्
bur:संसीदामि,18307:संसीदामि:n:ईदा
acc:सकलदानफलाधिकार,38237:सकलदानफलाधिकार:n:नफ्
pui:सकुलिया,15084:सकुलिया:n:लिय्
mci:सक्षद्द्रुह्,2570:सक्षद्द्रुह्:n:द्द्र्
ben:संकरीक्रण,15298:संकरीक्रण:n:ईक्र्
bhs:संकलियति,15512:संकलियति:n:लिय्
bhs:संकुसुमितगन्धोत्तमराज,15531:संकुसुमितगन्धोत्तमराज:n:धोत्
sch:सन्नेह,25826:सन्नेह:n:न्ने
bhs:समाधिमेर्वभ्युद्गतज्ञान,16040:समाधिमेर्वभ्युद्गतज्ञान:n:एर्व्
mw72:समुपजिघ्रत्,50510:समुपजिघ्रत्:n:इघ्र्
acc:संपच्छुक्रवारपूजा,27303:संपच्छुक्रवारपूजा:n:छुक्
mw:सम्पच्छुक्रवारपूजा,235985:सम्पच्छुक्रवारपूजा:n:छुक्
bur:सम्प्रसीदामि,17996:सम्प्रसीदामि:n:ईदा
bhs:सम्मापरिणामाये,16343:सम्मापरिणामाये:n:म्मा
bur:सम्मुञ्चामि,18053:सम्मुञ्चामि:n:म्मु
pe:सरस्वतीसागरसङ्गम,6299:सरस्वतीसागरसङ्गम:n:ईसा
pe:सव्यसिव्य,6545:सव्यसिव्य:n:सिव्
mw:सहस्रचण्ड्यादिविधि,240540:सहस्रचण्ड्यादिविधि:n:ड्या
vcp:साध्यताघटकसम्बन्ध,45910:साध्यताघटकसम्बन्ध:n:ताघ्
mw:सिंहतालाख्य,243776:सिंहतालाख्य:n:लाख्
acc:सिद्धान्तकामुदीसारसंग्रह,38651:सिद्धान्तकामुदीसारसंग्रह:n:ईसा
bhs:सीहनिषद्य,16861:सीहनिषद्य:n:सीह्
mw:सुखाधिष्ठान,245840:सुखाधिष्ठान:n:खाध्
mw:सुखापेत,245848:सुखापेत:n:खाप्
acc:सुरेश्वरीसाहात्म्य,28554:सुरेश्वरीसाहात्म्य:n:ईसा
mw:सुश्रुतपाठशुद्धि,250169.45:सुश्रुतपाठशुद्धि:n:ठश्
